POLY_ID,LSOA21CD,LSOA21NM,LSOA21NMW,BNG_E,BNG_N,LAT,LONG,GlobalID,indicator_sex_female,indicator_Ethnic_nonwhite,indicator_education_noqualification,indicator_age_elder,indicator_age_children,indicator_NS-SeC_unemployed,indicator_NS-SeC_students,indicator_health_good,indicator_health_bad,NUMPOINTS,POPULATION,Shape_Leng,populati_1,area,ln1p,rate,MORAN_STD,MORAN_LAG,locationID,ClusterID,ClusterType,RelativeRisk
1,E01000001,City of London 001A,,532123,181632,51.518,-0.097,{C625AEA8-6D73-4B2A-BE76-4D5C44CAD9F8},0.465,0.199,0.022,0.251,0.085,0.025,0.057,0.9,0.02,203,1475,2635.819,11357.487,0.13,5.318,0.138,-0.219,0.473,1,3,high,2.29
2,E01000002,City of London 001B,,532480,181715,51.519,-0.092,{52C878E9-AC68-4886-B4A8-FEA9CD241A70},0.439,0.217,0.017,0.2,0.062,0.029,0.064,0.91,0.023,212,1384,2707.866,6058.805,0.228,5.361,0.153,-0.205,0.518,2,3,high,2.29
3,E01000003,City of London 001C,,532239,182033,51.522,-0.095,{B9D8FACA-D489-478D-8CE6-ACAF76186D7D},0.468,0.261,0.082,0.177,0.068,0.045,0.042,0.854,0.031,66,1616,1224.596,27363.661,0.059,4.205,0.041,-0.303,-0.119,3,3,high,2.29
4,E01000005,City of London 001E,,533581,181283,51.515,-0.076,{15E1417D-537C-4845-9820-FC7596BD59B0},0.495,0.615,0.179,0.096,0.127,0.137,0.148,0.808,0.072,488,1103,2275.844,5818.002,0.19,6.192,0.442,0.046,0.284,4,3,high,2.29
5,E01000006,Barking and Dagenham 016A,,544994,184274,51.539,0.089,{8A6C4EE0-C0FF-4736-9CFA-FB12A6D50DA0},0.489,0.672,0.16,0.085,0.225,0.1,0.085,0.845,0.034,95,1845,1966.101,12590.59,0.147,4.564,0.051,-0.294,-0.301,5,3,high,2.29
6,E01000007,Barking and Dagenham 015A,,544187,184455,51.541,0.078,{F3A272BC-997F-426F-A102-F938CFE2478A},0.502,0.711,0.125,0.025,0.257,0.107,0.1,0.881,0.034,390,2908,2949.701,14533.006,0.2,5.969,0.134,-0.222,-0.217,6,3,high,2.29
7,E01000008,Barking and Dagenham 015B,,543575,184273,51.539,0.069,{7776B8B7-CEFB-4078-A95D-5A0A31E96B32},0.528,0.75,0.146,0.037,0.299,0.113,0.12,0.846,0.043,509,1795,4203.528,9269.361,0.194,6.234,0.284,-0.092,-0.128,7,3,high,2.29
8,E01000009,Barking and Dagenham 016B,,544587,184430,51.54,0.084,{9A4A3D9D-0469-4840-A607-22BD3733ECEB},0.474,0.696,0.195,0.091,0.22,0.139,0.079,0.845,0.049,149,1804,2158.797,14098.045,0.128,5.011,0.083,-0.266,-0.276,8,3,high,2.29
9,E01000011,Barking and Dagenham 016C,,544409,184734,51.543,0.081,{16714B0F-533A-4BB5-BF56-FDB2D341CAB8},0.464,0.715,0.197,0.076,0.225,0.126,0.103,0.861,0.043,61,1699,1543.092,18541.388,0.092,4.127,0.036,-0.307,-0.277,9,3,high,2.29
10,E01000012,Barking and Dagenham 015D,,543892,184714,51.543,0.074,{7C0376CF-8CF2-4FAF-BC79-00D0E1C1F181},0.509,0.725,0.132,0.039,0.328,0.11,0.084,0.867,0.035,259,2347,2301.231,16712.973,0.14,5.561,0.11,-0.242,-0.261,10,3,high,2.29
